Тираж;Дата;Время;∑ чисел выпавших;∑ чисел не выпавших;μ число;⌓ Медиана;Повторения чисел;σ² Дисперсия;σ СКО;↑ Макс;↓ Мин;Четных;Нечетных;Кол-во простых;Кол-во составных;Кол-во низких;Кол-во высоких;Кол-во треугольных;Кол-во квадратных;Кол-во зеркальных
231;25.12.2025;18:01;62;1772;10,3333;10,5;да;32,8889;5,7349;17;4;4;2;1;5;6;0;2;3;3
232;25.12.2025;21:01;69;1761;11,5;11;нет;34,9167;5,909;19;3;3;3;3;3;6;0;1;0;3
233;26.12.2025;12:01;75;1755;12,5;14;да;29,9167;5,4696;18;2;5;1;2;4;6;0;1;1;1
234;26.12.2025;15:01;86;1744;14,3333;15,5;да;23,2222;4,8189;20;7;2;4;2;4;6;0;1;2;2
235;26.12.2025;18:01;79;1751;13,1667;13,5;да;31,1389;5,5802;20;5;3;3;3;3;6;0;0;1;3
236;26.12.2025;21:01;67;1763;11,1667;11;да;47,8056;6,9142;20;1;3;3;1;4;6;0;3;1;3
237;27.12.2025;12:01;78;1762;13;11,5;да;21,3333;4,6188;20;7;4;2;2;4;6;0;2;0;1
238;27.12.2025;15:01;72;1769;12;12;да;29,3333;5,416;20;2;2;4;4;2;6;0;1;0;3
239;27.12.2025;18:01;56;1777;9,3333;8,5;нет;51,5556;7,1802;19;1;2;4;3;2;6;0;3;2;3
240;27.12.2025;21:01;63;1767;10,5;9;да;37,5833;6,1305;20;3;3;3;3;3;6;0;2;0;3
241;28.12.2025;12:01;69;1761;11,5;11,5;да;56,9167;7,5443;20;3;3;3;3;3;6;0;1;1;3
242;28.12.2025;15:01;69;1768;11,5;11;да;33,5833;5,7951;20;4;3;3;2;4;6;0;1;2;3
243;28.12.2025;18:01;61;1786;10,1667;11,5;нет;53,8056;7,3352;18;1;3;3;3;2;6;0;2;1;3
244;28.12.2025;21:01;53;1777;8,8333;6,5;да;31,8056;5,6396;17;2;3;3;4;2;6;0;1;1;4
245;29.12.2025;12:01;85;1763;14,1667;15,5;да;23,8056;4,8791;19;5;3;3;3;3;6;0;0;0;1
246;29.12.2025;15:01;62;1768;10,3333;11;да;33,5556;5,7927;20;2;4;2;3;3;6;0;1;0;2
247;29.12.2025;18:01;60;1790;10;6,5;да;52,3333;7,2342;20;3;4;2;2;4;6;0;1;1;4
248;29.12.2025;21:01;57;1778;9,5;8,5;да;41,5833;6,4485;20;1;3;3;2;3;6;0;1;1;3
249;30.12.2025;12:01;54;1776;9;10;да;32,3333;5,6862;18;1;2;4;2;3;6;0;2;2;4
250;30.12.2025;15:01;66;1771;11;10;да;17,3333;4,1633;19;7;0;6;5;1;6;0;0;1;4
251;30.12.2025;18:01;75;1755;12,5;14,5;да;30,25;5,5;18;2;3;3;2;4;6;0;1;1;2
252;30.12.2025;21:01;68;1773;11,3333;11;да;24,8889;4,9889;18;4;2;4;4;2;6;0;0;1;4
253;31.12.2025;12:01;61;1775;10,1667;6,5;да;45,1389;6,7185;20;3;3;3;3;3;6;0;3;0;4
254;31.12.2025;15:01;72;1758;12;12;да;14,6667;3,8297;18;7;2;4;3;3;6;0;1;0;3
255;31.12.2025;18:01;66;1781;11;13,5;да;38,3333;6,1914;17;2;2;4;5;1;6;0;1;0;2
256;31.12.2025;21:01;76;1754;12,6667;13;да;19,8889;4,4597;19;5;4;2;2;4;6;0;1;1;1
257;01.01.2026;12:01;66;1764;11;10,5;да;13,3333;3,6515;17;6;4;2;2;4;6;0;2;0;3
258;01.01.2026;15:01;64;1766;10,6667;12;да;30,8889;5,5578;18;2;2;4;4;2;6;0;1;0;3
259;01.01.2026;18:01;76;1754;12,6667;13;да;15,5556;3,9441;19;7;2;4;2;4;6;0;1;1;2
260;01.01.2026;21:01;61;1769;10,1667;9,5;да;22,1389;4,7052;18;4;5;1;0;6;6;0;2;2;3
261;02.01.2026;12:01;47;1783;7,8333;7,5;да;18,4722;4,2979;15;2;3;3;3;3;6;0;1;1;5
262;02.01.2026;15:01;49;1781;8,1667;7,5;да;39,8056;6,3092;16;1;3;3;2;3;6;0;3;2;3
263;02.01.2026;18:01;62;1768;10,3333;10,5;да;29,2222;5,4058;19;1;2;4;3;2;6;0;2;1;3
264;02.01.2026;21:01;67;1770;11,1667;10;да;36,1389;6,0116;20;3;1;5;5;1;6;0;1;0;3
265;03.01.2026;12:01;46;1802;7,6667;5;да;46,5556;6,8232;17;1;2;4;2;2;6;0;3;3;4
266;03.01.2026;15:01;95;1751;15,8333;16,5;да;10,4722;3,2361;19;9;3;3;2;4;6;0;0;3;1
267;03.01.2026;18:01;62;1768;10,3333;8,5;да;31,2222;5,5877;20;3;2;4;2;4;6;0;2;1;4
268;03.01.2026;21:01;72;1758;12;15;нет;43;6,5574;19;2;4;2;3;3;6;0;0;2;2
269;04.01.2026;12:01;49;1781;8,1667;9,5;да;18,4722;4,2979;14;2;3;3;3;3;6;0;2;1;4
270;04.01.2026;15:01;43;1787;7,1667;6;да;30,1389;5,4899;17;1;1;5;5;0;6;0;1;1;5
271;04.01.2026;18:01;67;1763;11,1667;11,5;да;18,4722;4,2979;17;3;3;3;3;3;6;0;2;0;2
272;04.01.2026;21:01;66;1780;11;12;да;21,3333;4,6188;16;4;4;2;2;4;6;0;1;3;3
273;05.01.2026;12:01;55;1783;9,1667;8;да;8,1389;2,8529;14;6;5;1;1;5;6;0;1;0;4
274;05.01.2026;15:01;55;1775;9,1667;8,5;да;45,1389;6,7185;18;1;3;3;3;2;6;0;2;1;4
275;05.01.2026;18:01;56;1774;9,3333;8,5;да;41,5556;6,4464;19;1;2;4;2;3;6;0;2;2;3
276;05.01.2026;21:01;64;1774;10,6667;9,5;нет;25,8889;5,0881;18;3;4;2;2;4;6;0;1;1;4
277;06.01.2026;12:01;69;1761;11,5;11;да;29,5833;5,4391;19;5;3;3;3;3;6;0;1;0;3
278;06.01.2026;15:01;88;1758;14,6667;15;да;11,2222;3,35;20;9;4;2;1;5;6;0;0;3;1
279;06.01.2026;18:01;76;1754;12,6667;13,5;да;27,2222;5,2175;18;2;4;2;3;3;6;0;0;0;1
280;06.01.2026;21:01;36;1802;6;7;да;7;2,6458;9;2;4;2;2;4;6;0;2;1;6
281;07.01.2026;12:01;67;1763;11,1667;11;да;31,8056;5,6396;18;1;3;3;1;4;6;0;2;2;2
282;07.01.2026;15:01;54;1776;9;8;да;32,3333;5,6862;19;2;2;4;4;2;6;0;0;2;4
283;07.01.2026;18:01;48;1782;8;6;да;37,6667;6,1373;18;1;4;2;1;4;6;0;2;2;4
284;07.01.2026;21:01;53;1792;8,8333;8;нет;23,4722;4,8448;15;2;1;5;3;3;6;0;2;1;4
285;08.01.2026;12:01;53;1785;8,8333;8;да;40,8056;6,3879;18;1;5;1;1;4;6;0;1;2;4
286;08.01.2026;15:01;74;1768;12,3333;12;да;18,2222;4,2687;19;6;4;2;1;5;6;0;1;2;2
287;08.01.2026;18:01;53;1777;8,8333;8,5;да;38,4722;6,2026;17;1;3;3;3;2;6;0;2;2;3
288;08.01.2026;21:01;55;1785;9,1667;10;да;16,8056;4,0995;14;1;5;1;0;5;6;0;3;1;2
289;09.01.2026;12:01;48;1787;8;7;да;9,3333;3,055;13;5;2;4;4;2;6;0;1;0;5
290;09.01.2026;15:01;53;1777;8,8333;9;да;27,4722;5,2414;16;1;5;1;0;5;6;0;2;3;3
291;09.01.2026;18:01;66;1770;11;10;да;50,6667;7,1181;20;1;4;2;1;4;6;0;3;1;3
292;09.01.2026;21:01;77;1773;12,8333;16;да;58,1389;7,6249;20;1;5;1;0;5;6;0;1;2;2
293;10.01.2026;12:01;84;1746;14;15;да;26;5,099;20;7;2;4;4;2;6;0;0;0;2
294;10.01.2026;15:01;74;1764;12,3333;12;да;14,2222;3,7712;18;8;4;2;2;4;6;0;0;1;3
295;10.01.2026;18:01;68;1780;11,3333;12,5;да;42,5556;6,5235;18;3;4;2;2;4;6;0;1;1;3
296;10.01.2026;21:01;77;1753;12,8333;13,5;да;11,8056;3,4359;17;7;3;3;3;3;6;0;1;1;1
297;11.01.2026;12:01;73;1774;12,1667;14,5;да;29,8056;5,4595;17;2;3;3;3;3;6;0;1;0;2
298;11.01.2026;15:01;76;1769;12,6667;14,5;да;27,2222;5,2175;20;4;4;2;0;6;6;0;2;1;2
299;11.01.2026;18:01;81;1749;13,5;13,5;да;18,25;4,272;20;8;3;3;1;5;6;0;1;1;2
300;11.01.2026;21:01;73;1757;12,1667;12,5;да;22,4722;4,7405;18;4;3;3;2;4;6;0;0;2;2
301;12.01.2026;12:01;37;1793;6,1667;6,5;нет;7,8056;2,7939;10;1;3;3;2;3;6;0;3;1;5
302;12.01.2026;15:01;60;1775;10;7,5;да;36;6;19;4;2;4;4;2;6;0;1;1;3
303;12.01.2026;18:01;33;1797;5,5;4,5;да;16,9167;4,113;14;1;3;3;2;3;6;0;3;2;5
304;12.01.2026;21:01;77;1753;12,8333;14,5;да;25,1389;5,0139;17;2;3;3;3;3;6;0;1;1;1
305;13.01.2026;12:01;72;1758;12;11;да;17,6667;4,2032;20;7;4;2;1;5;6;0;1;1;2
306;13.01.2026;15:01;71;1777;11,8333;13;да;35,4722;5,9559;18;1;5;1;0;5;6;0;1;1;2
307;13.01.2026;18:01;63;1784;10,5;12,5;да;55,5833;7,4554;20;1;3;3;0;4;6;0;2;5;3
308;13.01.2026;21:01;60;1770;10;10,5;да;32,3333;5,6862;18;2;4;2;1;5;6;0;1;2;3
309;14.01.2026;12:01;76;1754;12,6667;13,5;да;28,5556;5,3437;20;4;4;2;2;4;6;0;0;1;2
310;14.01.2026;15:01;72;1758;12;11,5;да;12,6667;3,559;19;8;2;4;3;3;6;0;0;1;3
311;14.01.2026;18:01;79;1751;13,1667;15;да;37,8056;6,1486;20;2;3;3;3;3;6;0;0;1;2
312;14.01.2026;21:01;97;1770;16,1667;18;да;13,1389;3,6248;19;9;3;3;2;4;6;0;0;1;1
313;15.01.2026;12:01;86;1763;14,3333;18,5;да;44,2222;6,65;20;4;4;2;2;4;6;0;1;1;2
314;15.01.2026;15:01;60;1770;10;10;да;21,3333;4,6188;17;4;2;4;3;3;6;0;0;2;4
315;15.01.2026;18:01;51;1779;8,5;9,5;да;10,9167;3,304;12;2;3;3;3;3;6;0;1;1;4
316;15.01.2026;21:01;82;1748;13,6667;14,5;да;21,2222;4,6068;19;7;2;4;3;3;6;0;0;1;2
317;16.01.2026;12:01;57;1773;9,5;10;да;21,9167;4,6815;15;1;1;5;2;3;6;0;2;2;4
318;16.01.2026;15:01;62;1768;10,3333;11;да;21,5556;4,6428;17;4;4;2;2;4;6;0;1;1;2
319;16.01.2026;18:01;74;1768;12,3333;12;да;6,2222;2,4944;16;9;4;2;0;6;6;0;2;2;1
320;16.01.2026;21:01;52;1778;8,6667;8;да;38,8889;6,2361;17;1;2;4;2;3;6;0;3;2;3
321;17.01.2026;12:01;87;1743;14,5;14,5;да;6,9167;2,63;18;10;3;3;2;4;6;0;2;0;0
322;17.01.2026;15:01;41;1798;6,8333;8,5;нет;15,8056;3,9756;12;1;3;3;1;4;6;0;1;3;5
323;17.01.2026;18:01;67;1763;11,1667;12;да;31,1389;5,5802;18;1;3;3;2;3;6;0;1;2;3
324;17.01.2026;21:01;60;1784;10;11,5;нет;23;4,7958;15;2;4;2;1;5;6;0;2;1;3
325;18.01.2026;12:01;95;1735;15,8333;16;да;5,8056;2,4095;19;12;3;3;2;4;6;0;1;0;0
326;18.01.2026;15:01;76;1754;12,6667;14;да;34,2222;5,85;19;3;2;4;4;2;6;0;1;0;3
327;18.01.2026;18:01;70;1760;11,6667;12,5;да;27,5556;5,2493;19;4;4;2;2;4;6;0;1;2;2
328;18.01.2026;21:01;55;1775;9,1667;8,5;да;27,1389;5,2095;19;2;3;3;3;3;6;0;1;1;5
329;19.01.2026;12:01;77;1753;12,8333;13,5;да;37,8056;6,1486;20;4;3;3;3;3;6;0;1;1;2
330;19.01.2026;15:01;59;1789;9,8333;11,5;нет;34,1389;5,8429;16;2;5;1;3;3;6;0;0;2;3
331;19.01.2026;18:01;65;1765;10,8333;11,5;да;31,8056;5,6396;20;3;3;3;3;3;6;0;1;0;3
332;19.01.2026;21:01;48;1792;8;9;да;19,6667;4,4347;15;2;4;2;2;4;6;0;4;0;3
333;20.01.2026;12:01;59;1771;9,8333;9;нет;47,8056;6,9142;20;1;3;3;2;3;6;0;1;3;3
334;20.01.2026;15:01;75;1773;12,5;14,5;нет;31,5833;5,6199;18;3;3;3;2;4;6;0;2;0;2
335;20.01.2026;18:01;63;1784;10,5;11;да;47,5833;6,8981;18;2;3;3;4;2;6;0;0;1;3
336;20.01.2026;21:01;56;1777;9,3333;9,5;нет;26,8889;5,1855;16;3;2;4;3;3;6;0;3;1;4
337;21.01.2026;12:01;54;1776;9;6,5;да;46,6667;6,8313;20;2;4;2;2;4;6;0;1;3;4
338;21.01.2026;15:01;74;1756;12,3333;12;да;27,8889;5,281;19;5;2;4;2;4;6;0;1;1;3
339;21.01.2026;18:01;69;1765;11,5;12;да;38,9167;6,2383;20;4;3;3;1;5;6;0;1;3;3
340;21.01.2026;21:01;54;1776;9;7,5;да;26,3333;5,1316;18;3;2;4;3;3;6;0;2;1;4
341;22.01.2026;12:01;103;1763;17,1667;18;нет;8,8056;2,9674;20;11;1;5;5;1;6;0;0;0;1
342;22.01.2026;15:01;61;1769;10,1667;11,5;да;33,4722;5,7855;19;1;1;5;4;1;6;0;1;1;3
343;22.01.2026;18:01;74;1756;12,3333;14;да;50,2222;7,0868;20;2;4;2;3;3;6;0;1;0;2
344;22.01.2026;21:01;60;1772;10;10;да;55;7,4162;19;2;4;2;4;2;6;0;0;2;3
345;23.01.2026;12:01;73;1757;12,1667;13;да;21,1389;4,5977;17;3;3;3;3;3;6;0;1;1;2
346;23.01.2026;15:01;62;1768;10,3333;9,5;нет;27,8889;5,281;19;4;2;4;2;4;6;0;2;2;3
347;23.01.2026;18:01;34;1805;5,6667;6;да;9,8889;3,1447;9;1;2;4;1;4;6;0;2;4;6
348;23.01.2026;21:01;88;1742;14,6667;14,5;да;17,2222;4,15;20;8;4;2;2;4;6;0;0;1;1
349;24.01.2026;12:01;61;1769;10,1667;12;да;37,4722;6,1215;17;1;1;5;4;1;6;0;2;2;3
350;24.01.2026;15:01;87;1743;14,5;14,5;да;8,9167;2,9861;19;10;3;3;2;4;6;0;2;0;0
351;24.01.2026;18:01;66;1764;11;12;да;45,3333;6,733;20;2;4;2;3;3;6;0;2;0;2
352;24.01.2026;21:01;66;1764;11;11,5;да;21,6667;4,6548;17;3;2;4;3;3;6;0;3;0;2
353;25.01.2026;12:01;40;1790;6,6667;5,5;да;19,5556;4,4222;13;1;2;4;3;2;6;0;3;1;4
354;25.01.2026;15:01;64;1766;10,6667;12;да;31,5556;5,6174;19;3;2;4;4;2;6;0;1;1;3
355;25.01.2026;18:01;86;1761;14,3333;16,5;да;26,5556;5,1532;18;3;2;4;3;3;6;0;2;1;1
356;25.01.2026;21:01;78;1752;13;12,5;да;24,6667;4,9666;20;5;4;2;2;4;6;0;1;0;1
357;26.01.2026;12:01;71;1759;11,8333;11,5;да;29,8056;5,4595;20;5;3;3;2;4;6;0;1;1;3
358;26.01.2026;15:01;48;1782;8;7,5;да;21,6667;4,6548;16;2;4;2;2;4;6;0;1;3;5
359;26.01.2026;18:01;32;1799;5,3333;5;да;16,8889;4,1096;11;1;2;4;2;2;6;0;2;3;6
360;26.01.2026;21:01;77;1753;12,8333;12;да;24,8056;4,9805;20;6;5;1;0;6;6;0;2;1;2
361;27.01.2026;12:01;42;1789;7;4,5;нет;42,3333;6,5064;19;1;2;4;2;2;6;0;2;3;4
362;27.01.2026;15:01;61;1769;10,1667;9;да;28,4722;5,3359;20;4;3;3;3;3;6;0;1;1;4
363;27.01.2026;18:01;70;1760;11,6667;13,5;да;49,5556;7,0396;20;2;4;2;3;3;6;0;1;1;3
364;27.01.2026;21:01;51;1779;8,5;8;да;34,9167;5,909;20;2;3;3;3;3;6;0;2;1;4
365;28.01.2026;12:01;52;1790;8,6667;8,5;да;33,2222;5,7639;18;2;4;2;3;3;6;0;1;0;3
366;28.01.2026;15:01;89;1770;14,8333;15,5;нет;21,1389;4,5977;20;9;3;3;1;5;6;0;0;2;2
367;28.01.2026;18:01;46;1792;7,6667;8;да;28,2222;5,3125;17;1;4;2;2;3;6;0;2;1;4
368;28.01.2026;21:01;53;1777;8,8333;9;да;35,1389;5,9278;19;1;3;3;2;3;6;0;3;1;3
369;29.01.2026;12:01;61;1769;10,1667;11,5;да;43,1389;6,568;18;1;3;3;1;4;6;0;3;2;3
370;29.01.2026;15:01;45;1785;7,5;6;да;29,9167;5,4696;17;1;1;5;4;1;6;0;2;1;4
371;29.01.2026;18:01;48;1782;8;5,5;да;38,6667;6,2183;17;1;2;4;3;2;6;0;3;2;4
372;29.01.2026;21:01;64;1766;10,6667;10,5;да;25,2222;5,0222;17;2;4;2;3;3;6;0;1;1;3
373;30.01.2026;12:01;45;1785;7,5;7,5;да;21,5833;4,6458;16;1;3;3;1;4;6;0;1;4;5
374;30.01.2026;15:01;44;1786;7,3333;7,5;да;19,5556;4,4222;13;1;2;4;2;3;6;0;3;2;4
375;30.01.2026;18:01;80;1750;13,3333;15;нет;18,5556;4,3076;18;7;4;2;2;4;6;0;0;1;2
376;30.01.2026;21:01;67;1763;11,1667;10;да;20,4722;4,5246;20;6;3;3;2;4;6;0;1;1;4
377;31.01.2026;12:01;76;1774;12,6667;17,5;да;69,5556;8,34;20;1;2;4;2;2;6;0;2;3;2
378;31.01.2026;15:01;45;1785;7,5;6,5;нет;28,25;5,3151;18;2;3;3;3;3;6;0;1;1;5
379;31.01.2026;18:01;53;1777;8,8333;8;да;29,1389;5,398;18;2;3;3;3;3;6;0;0;2;4
380;31.01.2026;21:01;58;1772;9,6667;9,5;да;28,2222;5,3125;18;2;4;2;2;4;6;0;1;1;3
381;01.02.2026;12:01;57;1773;9,5;9,5;да;23,9167;4,8905;16;2;5;1;2;4;6;0;1;1;3
382;01.02.2026;15:01;75;1755;12,5;15;да;38,9167;6,2383;19;3;3;3;3;3;6;0;1;1;2
383;01.02.2026;18:01;73;1773;12,1667;14;да;34,8056;5,8996;20;4;5;1;1;5;6;0;0;3;2
384;01.02.2026;21:01;68;1762;11,3333;11,5;да;28,5556;5,3437;20;4;4;2;1;5;6;0;2;1;3
385;02.02.2026;12:01;65;1776;10,8333;10,5;да;12,4722;3,5316;18;7;3;3;3;3;6;0;1;0;4
386;02.02.2026;15:01;60;1782;10;10;да;21,3333;4,6188;18;4;6;0;0;6;6;0;1;1;3
387;02.02.2026;18:01;75;1755;12,5;14,5;да;26,25;5,1235;18;5;3;3;2;4;6;0;2;0;2
388;02.02.2026;21:01;49;1786;8,1667;5;да;43,8056;6,6186;20;1;3;3;2;3;6;0;1;2;4
389;03.02.2026;12:01;80;1768;13,3333;15,5;да;35,8889;5,9907;20;4;4;2;2;4;6;0;0;1;2
390;03.02.2026;15:01;82;1748;13,6667;14;да;23,8889;4,8876;20;5;2;4;3;3;6;0;1;0;2
391;03.02.2026;18:01;60;1770;10;9;да;49,3333;7,0238;20;2;2;4;5;1;6;0;1;0;3
392;03.02.2026;21:01;40;1792;6,6667;4,5;да;27,2222;5,2175;16;2;4;2;4;2;6;0;2;1;5
393;04.02.2026;12:01;81;1769;13,5;16;да;45,5833;6,7515;20;2;3;3;3;3;6;0;1;0;2
394;04.02.2026;15:01;64;1774;10,6667;9,5;да;32,5556;5,7058;20;2;4;2;2;4;6;0;1;0;4
395;04.02.2026;18:01;72;1758;12;13;да;17,6667;4,2032;17;4;4;2;1;5;6;0;2;1;1
396;04.02.2026;21:01;62;1774;10,3333;8,5;да;24,8889;4,9889;20;6;4;2;2;4;6;0;3;0;3
397;05.02.2026;12:01;55;1775;9,1667;10;нет;20,4722;4,5246;16;3;3;3;2;4;6;0;1;3;4
398;05.02.2026;15:01;75;1781;12,5;13;да;25,25;5,0249;19;4;5;1;1;5;6;0;2;3;1
399;05.02.2026;18:01;64;1770;10,6667;10,5;да;35,2222;5,9348;19;4;4;2;2;4;6;0;0;3;3
400;05.02.2026;21:01;57;1773;9,5;10,5;да;26,9167;5,1881;16;1;3;3;1;4;6;0;1;3;3
401;06.02.2026;12:01;38;1799;6,3333;7;да;12,5556;3,5434;12;1;2;4;3;2;6;0;2;1;5
402;06.02.2026;15:01;60;1774;10;8,5;нет;49;7;20;2;4;2;3;3;6;0;0;2;3
403;06.02.2026;18:01;64;1766;10,6667;10;да;24,8889;4,9889;20;5;2;4;3;3;6;0;1;1;4
404;06.02.2026;21:01;54;1776;9;9,5;да;40,6667;6,377;18;1;4;2;2;3;6;0;2;1;3
405;07.02.2026;12:01;55;1775;9,1667;10;да;23,8056;4,8791;16;2;3;3;3;3;6;0;0;3;4
406;07.02.2026;15:01;41;1789;6,8333;6,5;да;22,4722;4,7405;15;1;3;3;2;3;6;0;4;1;4
407;07.02.2026;18:01;70;1760;11,6667;12;да;31,8889;5,647;19;4;2;4;2;4;6;0;2;2;3
408;07.02.2026;21:01;51;1787;8,5;8;да;20,5833;4,5369;17;2;5;1;2;4;6;0;2;0;4
409;08.02.2026;12:01;78;1752;13;15,5;нет;45,6667;6,7577;20;3;2;4;4;2;6;0;1;0;2
410;08.02.2026;15:01;69;1761;11,5;10,5;да;44,9167;6,702;20;4;3;3;2;4;6;0;2;1;3
411;08.02.2026;18:01;58;1772;9,6667;8;да;27,8889;5,281;19;4;2;4;3;3;6;0;0;2;4
412;08.02.2026;21:01;88;1759;14,6667;17;да;23,5556;4,8534;19;5;2;4;4;2;6;0;0;0;1
413;09.02.2026;12:01;64;1779;10,6667;12,5;да;26,2222;5,1208;18;3;2;4;4;2;6;0;1;0;2
414;09.02.2026;15:01;71;1759;11,8333;11;да;21,4722;4,6338;20;6;5;1;0;6;6;0;3;0;2
415;09.02.2026;18:01;52;1778;8,6667;8,5;да;35,5556;5,9629;17;1;2;4;2;3;6;0;2;2;4
416;09.02.2026;21:01;54;1776;9;8,5;да;13,3333;3,6515;15;4;4;2;0;6;6;0;2;2;4
417;10.02.2026;12:01;41;1789;6,8333;5,5;да;18,4722;4,2979;13;2;3;3;4;2;6;0;1;1;4
418;10.02.2026;15:01;72;1758;12;13,5;нет;50;7,0711;20;1;2;4;3;2;6;0;1;2;3
419;10.02.2026;18:01;44;1787;7,3333;3,5;да;54,8889;7,4087;20;1;2;4;1;3;6;0;4;3;4
420;10.02.2026;21:01;74;1756;12,3333;13,5;да;32,5556;5,7058;19;3;2;4;4;2;6;0;1;0;2
421;11.02.2026;12:01;45;1789;7,5;4;да;41,9167;6,4743;20;2;5;1;2;4;6;0;1;2;4
422;11.02.2026;15:01;73;1771;12,1667;14;да;24,8056;4,9805;18;4;5;1;1;5;6;0;0;2;2
423;11.02.2026;18:01;72;1758;12;12;нет;41,3333;6,4291;20;3;2;4;2;4;6;0;3;1;3
424;11.02.2026;21:01;60;1776;10;9,5;да;23,6667;4,8648;17;4;4;2;2;4;6;0;2;1;3
425;12.02.2026;12:01;58;1772;9,6667;9;нет;22,8889;4,7842;16;2;4;2;2;4;6;0;2;1;3
426;12.02.2026;15:01;65;1776;10,8333;11;нет;18,8056;4,3365;17;3;1;5;4;2;6;0;1;1;4
427;12.02.2026;18:01;63;1767;10,5;10,5;да;4,9167;2,2174;14;7;3;3;2;4;6;0;1;1;3
428;12.02.2026;21:01;54;1776;9;9;да;12,6667;3,559;14;3;4;2;2;4;6;0;2;0;3
429;13.02.2026;12:01;43;1791;7,1667;5,5;да;29,8056;5,4595;18;1;3;3;1;4;6;0;1;4;5
430;13.02.2026;15:01;64;1784;10,6667;9,5;да;32,5556;5,7058;18;3;4;2;2;4;6;0;2;0;4
431;13.02.2026;18:01;68;1762;11,3333;10,5;да;39,8889;6,3158;20;4;4;2;2;4;6;0;0;1;3
432;13.02.2026;21:01;60;1770;10;9,5;да;30,6667;5,5378;19;3;2;4;4;2;6;0;1;0;3
433;14.02.2026;12:01;90;1751;15;14,5;да;12,3333;3,5119;20;11;2;4;3;3;6;0;1;0;2
434;14.02.2026;15:01;71;1776;11,8333;12,5;нет;23,4722;4,8448;17;3;1;5;4;2;6;0;1;1;2
435;14.02.2026;18:01;52;1788;8,6667;8,5;нет;30,8889;5,5578;19;1;2;4;3;2;6;0;3;1;3
436;14.02.2026;21:01;47;1790;7,8333;7;да;21,4722;4,6338;17;2;1;5;5;1;6;0;0;1;5
437;15.02.2026;12:01;59;1771;9,8333;10,5;да;18,4722;4,2979;16;4;3;3;2;4;6;0;0;3;3
438;15.02.2026;15:01;68;1762;11,3333;12,5;да;47,2222;6,8718;20;1;4;2;1;4;6;0;1;2;2
439;15.02.2026;18:01;46;1784;7,6667;8,5;да;15,8889;3,9861;13;2;2;4;4;2;6;0;1;1;5
440;15.02.2026;21:01;70;1760;11,6667;13;нет;52,8889;7,2725;20;1;4;2;1;4;6;0;2;3;2
441;16.02.2026;12:01;57;1773;9,5;7,5;да;47,5833;6,8981;20;2;3;3;4;2;6;0;2;0;3
442;16.02.2026;15:01;79;1783;13,1667;12;да;28,8056;5,3671;20;5;5;1;1;5;6;0;1;0;1
443;16.02.2026;18:01;41;1789;6,8333;7,5;да;18,4722;4,2979;13;1;3;3;2;3;6;0;3;2;4
444;16.02.2026;21:01;68;1762;11,3333;10;да;29,5556;5,4365;19;5;2;4;3;3;6;0;1;1;4
445;17.02.2026;12:01;59;1790;9,8333;9;да;59,8056;7,7334;19;1;3;3;3;2;6;0;1;2;3
446;17.02.2026;15:01;72;1758;12;12,5;нет;18,6667;4,3205;17;5;2;4;2;4;6;0;2;2;2
447;17.02.2026;18:01;76;1771;12,6667;16;да;44,8889;6,6999;20;2;2;4;4;2;6;0;1;0;2
448;17.02.2026;21:01;78;1783;13;13;да;42,3333;6,5064;20;1;2;4;2;3;6;0;2;1;3
449;18.02.2026;12:01;66;1764;11;11;да;22,3333;4,7258;18;5;2;4;2;4;6;0;2;1;3
450;18.02.2026;15:01;59;1781;9,8333;10;нет;29,1389;5,398;19;1;3;3;2;3;6;0;3;1;2
451;18.02.2026;18:01;59;1776;9,8333;9;нет;37,1389;6,0942;18;2;3;3;4;2;6;0;0;1;3
452;18.02.2026;21:01;62;1768;10,3333;11;да;30,5556;5,5277;19;1;2;4;3;2;6;0;2;1;2
453;19.02.2026;12:01;56;1774;9,3333;10,5;да;32,2222;5,6765;17;1;2;4;3;2;6;0;3;1;3
454;19.02.2026;15:01;79;1751;13,1667;14;да;17,1389;4,1399;18;7;3;3;2;4;6;0;0;2;2
455;19.02.2026;18:01;64;1776;10,6667;10,5;да;19,2222;4,3843;18;3;4;2;2;4;6;0;3;0;2
456;19.02.2026;21:01;84;1761;14;15;да;12;3,4641;18;7;2;4;2;4;6;0;2;1;1
457;20.02.2026;12:01;40;1790;6,6667;5;да;28,5556;5,3437;18;2;4;2;3;3;6;0;2;1;5
458;20.02.2026;15:01;66;1777;11;12,5;нет;24,3333;4,9329;17;1;2;4;3;2;6;0;2;1;1
459;20.02.2026;18:01;79;1751;13,1667;15,5;да;32,4722;5,6984;20;4;3;3;2;4;6;0;1;2;2
460;20.02.2026;21:01;84;1746;14;14;да;18,6667;4,3205;20;8;6;0;0;6;6;0;1;1;1
461;21.02.2026;12:01;47;1783;7,8333;6,5;нет;16,1389;4,0173;15;3;1;5;4;2;6;0;3;0;5
462;21.02.2026;15:01;67;1776;11,1667;13;да;42,1389;6,4914;19;2;1;5;6;0;6;0;1;0;2
463;21.02.2026;18:01;63;1767;10,5;9,5;да;15,5833;3,9476;17;5;3;3;2;4;6;0;1;1;3
464;21.02.2026;21:01;63;1767;10,5;10;нет;48,9167;6,994;20;2;3;3;4;2;6;0;1;0;3
